RTSI$ Index,Last Price,High Price,Low Price,Volume,Open Price,,SPX Index,Last Price,High Price,Low Price,Volume,Open Price
Dates,PX_LAST,PX_HIGH,PX_LOW,PX_VOLUME,PX_OPEN,,Dates,PX_LAST,PX_HIGH,PX_LOW,PX_VOLUME,PX_OPEN
26.01.2010,1444.33,1489.63,1431.92,4319824384,1485.53,,04.01.2010,1132.99,1133.87,1116.56,831826496,1116.56
27.01.2010,1446.36,1462.19,1424.88,3048232192,1444.87,,05.01.2010,1136.52,1136.63,1129.66,982261056,1132.66
28.01.2010,1460.98,1478.39,1440.5,2670610688,1448.11,,06.01.2010,1137.14,1139.19,1133.95,927104192,1135.71
29.01.2010,1473.81,1474.13,1444.1,2791533824,1458.14,,07.01.2010,1141.69,1142.46,1131.32,1069001344,1136.27
01.02.2010,1470.79,1473.84,1452.08,2234832384,1473.81,,08.01.2010,1144.98,1145.39,1136.22,871873600,1140.52
02.02.2010,1498.75,1499.19,1469.17,1718053120,1470.94,,11.01.2010,1146.98,1149.74,1142.02,812147072,1145.96
03.02.2010,1507.15,1530,1497.47,2207410688,1498.75,,12.01.2010,1136.22,1143.81,1131.77,966832832,1143.81
04.02.2010,1463.01,1514.07,1459.38,1876638976,1507.59,,13.01.2010,1145.68,1148.4,1133.18,854998016,1137.31
05.02.2010,1411.14,1466.95,1394.19,1441096448,1462.25,,14.01.2010,1148.46,1150.41,1143.8,837162752,1145.68
08.02.2010,1375.34,1421.37,1372.83,1557253632,1411.51,,15.01.2010,1136.03,1147.77,1131.39,1377474432,1147.72
09.02.2010,1390.32,1399.71,1374.32,1585731968,1376.42,,19.01.2010,1150.23,1150.45,1135.77,913992320,1136.03
10.02.2010,1387.11,1417.65,1380.29,1380681856,1390.29,,20.01.2010,1138.04,1147.95,1129.25,951016128,1147.95
11.02.2010,1391.94,1410.71,1384.38,1182623104,1387.11,,21.01.2010,1116.48,1141.58,1114.84,1383449216,1138.68
12.02.2010,1363.83,1406.74,1355.95,1288861312,1391.94,,22.01.2010,1091.76,1115.49,1090.18,1374488960,1115.49
14.02.2010,#N/A N/A,#N/A N/A,#N/A N/A,1160771968,#N/A N/A,,25.01.2010,1096.78,1102.97,1092.4,968369536,1092.4
15.02.2010,1375.99,1377.08,1362.89,587048448,1363.83,,26.01.2010,1092.17,1103.69,1089.86,1075171456,1095.8
16.02.2010,1418.16,1418.16,1374.73,681144576,1377.17,,27.01.2010,1097.5,1099.51,1083.11,1211570304,1091.94
17.02.2010,1421.97,1436.7,1413.85,723467840,1418,,28.01.2010,1084.53,1100.22,1078.46,1139935872,1096.93
18.02.2010,1410.85,1427.3,1396.85,1635640960,1421.97,,29.01.2010,1073.87,1096.45,1071.59,1521404416,1087.61
19.02.2010,1423.13,1423.13,1381.55,1230952576,1410.85,,01.02.2010,1089.19,1089.38,1073.89,943805952,1073.89
24.02.2010,1401.48,1427.87,1392.85,1173072896,1423.13,,02.02.2010,1103.32,1104.73,1087.96,1068574656,1090.05
25.02.2010,1373.11,1412.27,1363.96,1744430208,1401.56,,03.02.2010,1097.28,1102.72,1093.97,987772352,1100.67
26.02.2010,1390.25,1393.82,1368.73,1132360704,1373.36,,04.02.2010,1063.11,1097.25,1062.78,1349741184,1097.25
27.02.2010,1410.85,1413.43,1388.29,2792416,1389.8,,05.02.2010,1066.19,1067.13,1044.5,1380442624,1064.12
01.03.2010,1429.77,1432.89,1402.9,2597673472,1408.57,,08.02.2010,1056.74,1071.2,1056.51,992858176,1065.51
02.03.2010,1445.62,1448.02,1424.46,1085440640,1427.35,,09.02.2010,1070.52,1079.28,1060.06,1077304320,1060.06
03.03.2010,1460.2,1463.74,1438.05,1411844224,1445.09,,10.02.2010,1068.13,1073.67,1059.34,911958080,1069.68
04.03.2010,1470.41,1480.23,1449.5,1741329536,1460.05,,11.02.2010,1078.47,1080.04,1060.59,945516480,1067.1
05.03.2010,1508.21,1508.76,1468.39,1345632384,1468.71,,12.02.2010,1075.51,1077.81,1062.97,1184044928,1075.95
09.03.2010,1502.7,1515.84,1488.01,1294798720,1508.2,,16.02.2010,1094.87,1095.67,1079.13,959347904,1079.13
10.03.2010,1501.4,1515.81,1495.91,3133464576,1502.48,,17.02.2010,1099.51,1101.03,1094.72,901474688,1096.14
11.03.2010,1504.04,1516.74,1495.14,2410514176,1501.4,,18.02.2010,1106.75,1108.24,1097.48,837824704,1099.03
12.03.2010,1534.68,1544.09,1502.07,2978988800,1503.59,,19.02.2010,1109.17,1112.42,1100.8,1066718208,1105.49
15.03.2010,1514.4,1536.24,1513.07,1951965824,1534.68,,22.02.2010,1108.01,1112.29,1105.38,841575168,1110
16.03.2010,1536.79,1536.79,1512.64,2580932096,1514.72,,23.02.2010,1094.6,1108.58,1092.18,924531584,1107.49
17.03.2010,1563.46,1569.77,1534.36,3027012608,1536.74,,24.02.2010,1105.24,1106.42,1095.5,886744448,1095.89
18.03.2010,1558.8,1572.63,1547.41,2319883776,1563.73,,25.02.2010,1102.94,1103.5,1086.02,997268224,1101.24
19.03.2010,1544.71,1564.54,1540.74,3373291520,1560.04,,26.02.2010,1104.49,1107.24,1097.56,1047777472,1103.1
22.03.2010,1525.59,1546.68,1509.56,3054543104,1546.34,,01.03.2010,1115.71,1116.11,1105.36,848095168,1105.36
23.03.2010,1524.96,1545.92,1518.29,2783062784,1527.88,,02.03.2010,1118.31,1123.46,1116.51,952852672,1117.01
24.03.2010,1514.58,1531.2,1506.17,2838822144,1526.63,,03.03.2010,1118.79,1125.64,1116.58,848040192,1119.36
25.03.2010,1515.04,1519.81,1504.6,1248946304,1513.67,,04.03.2010,1122.97,1123.73,1116.66,833652736,1119.12
26.03.2010,1519.87,1527.22,1507.36,1166018304,1515.22,,05.03.2010,1138.7,1139.38,1125.12,882411712,1125.12
29.03.2010,1551.57,1552.38,1514.6,2388937472,1522.48,,08.03.2010,1138.5,1141.05,1136.77,788793216,1138.4
30.03.2010,1562.29,1570.26,1551.51,2175065344,1551.7,,09.03.2010,1140.45,1145.37,1134.9,1015641280,1137.56
31.03.2010,1572.48,1584.72,1556.02,3084215296,1562.09,,10.03.2010,1145.61,1148.26,1140.09,1027995136,1140.22
01.04.2010,1608.39,1611.45,1569.6,2746734336,1572.48,,11.03.2010,1150.24,1150.24,1138.99,867799104,1143.96
02.04.2010,1614.45,1622.35,1606.24,1331070464,1608.44,,12.03.2010,1149.99,1153.41,1146.97,917272320,1151.71
05.04.2010,1626.79,1627.37,1613.02,1025837376,1614.45,,15.03.2010,1150.51,1150.98,1141.45,826897536,1148.53
06.04.2010,1633.32,1642.37,1617.95,2745866240,1626.79,,16.03.2010,1159.46,1160.28,1150.35,916688640,1150.83
07.04.2010,1613.88,1637.28,1611.13,1964042624,1633.32,,17.03.2010,1166.21,1169.84,1159.94,872799040,1159.94
08.04.2010,1600.84,1617.97,1586.57,1481081856,1613.94,,18.03.2010,1165.83,1167.77,1161.16,801459584,1166.13
09.04.2010,1631.81,1636.04,1599.63,2141299456,1600.84,,19.03.2010,1159.9,1169.2,1155.33,1776631808,1166.68
12.04.2010,1648.43,1658.74,1624.52,1581666304,1631.71,,22.03.2010,1165.81,1167.82,1152.88,832481792,1157.25
13.04.2010,1643.98,1653.63,1636.32,1318868224,1648.43,,23.03.2010,1174.17,1174.72,1163.83,867549952,1166.47
14.04.2010,1673.41,1673.59,1643.55,1531183360,1643.91,,24.03.2010,1167.72,1173.04,1166.01,885073728,1172.7
15.04.2010,1676.27,1685.6,1665.18,2800242688,1673.41,,25.03.2010,1165.73,1180.69,1165.09,1041639168,1170.03
16.04.2010,1642.57,1677.51,1642.45,2322025216,1676.27,,26.03.2010,1166.59,1173.93,1161.48,870957312,1167.58
19.04.2010,1601.67,1645.76,1580.34,6748590592,1642.82,,29.03.2010,1173.22,1174.85,1167.71,781619712,1167.71
20.04.2010,1619.43,1626.45,1597.81,2773067520,1601.32,,30.03.2010,1173.27,1177.83,1168.92,768856896,1173.75
21.04.2010,1610.23,1631.27,1605.77,2493646592,1619.43,,31.03.2010,1169.43,1174.56,1165.77,956306304,1171.75
22.04.2010,1583.54,1619.37,1577.88,4065694720,1610.23,,01.04.2010,1178.1,1181.43,1170.69,792755392,1171.23
23.04.2010,1602.99,1606.16,1582.66,3688844288,1583.9,,05.04.2010,1187.44,1187.73,1178.71,712058880,1178.71
26.04.2010,1626.1,1633.19,1599.93,2177691904,1604.86,,06.04.2010,1189.44,1191.8,1182.77,779278080,1186.01
27.04.2010,1603.59,1626.82,1594.28,3461470976,1626.1,,07.04.2010,1182.45,1189.6,1177.25,958127104,1188.23
28.04.2010,1563.1,1603.39,1555.24,3729897984,1603.39,,08.04.2010,1186.44,1188.55,1175.12,896184640,1181.75
29.04.2010,1588.75,1589.37,1558.02,2082601600,1563.1,,09.04.2010,1194.37,1194.66,1187.15,790852800,1187.47
30.04.2010,1572.84,1592.26,1569.07,2056522624,1587.94,,12.04.2010,1196.48,1199.2,1194.71,739763008,1194.94
04.05.2010,1517.83,1581.32,1517.62,3385771264,1572.84,,13.04.2010,1197.3,1199.04,1188.82,863404480,1195.94
05.05.2010,1482.67,1523.39,1464.65,2118672384,1517.82,,14.04.2010,1210.65,1210.65,1198.69,1040031296,1198.69
06.05.2010,1450.47,1487.44,1450.47,2012248832,1482.67,,15.04.2010,1211.67,1213.92,1208.5,1043164224,1210.77
07.05.2010,1369.91,1450.47,1362.47,1742789376,1450.47,,16.04.2010,1192.13,1210.17,1186.77,1620629504,1210.17
11.05.2010,1420.54,1430.36,1361.31,2579543552,1371.29,,19.04.2010,1197.52,1197.87,1183.68,1074802432,1192.06
